YEAR,COUNTY_NAME,Dist,DISTRICT_NAME,"2017-18 Total
K-12 Aid",2018-19 Governor's Budget Message (GBM) Total K-12 Aid,2018-19 Approp_Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Adjustment
Aid",TOTAL,"One Year
K-12 Aid
Difference",One Year Aid Percent Difference
2018-2019,Sussex,90,Andover Reg,"2,312,540","2,352,819","2,258,513","28,208",0,"56,284","542,672","532,625","61,429","1,037,295",2258513,"-54,027",-2.34%
2018-2019,Sussex,640,Byram Twp,"3,812,617","3,892,017","3,798,943","2,512,278",0,"441,082","232,137","542,873","70,573",0,3798943,"-13,674",-0.36%
2018-2019,Sussex,1560,Frankford Twp,"1,933,050","2,017,512","1,889,426","3,996",0,0,"253,966","412,297","48,682","1,170,485",1889426,"-43,624",-2.26%
2018-2019,Sussex,1570,Franklin Boro,"3,272,459","3,300,765","3,255,462","2,659,880",0,0,"49,243","303,322","95,302","147,715",3255462,"-16,997",-0.52%
2018-2019,Sussex,1630,Fredon Twp,"534,307","559,003","520,109","277,211",0,0,"33,235","183,763","25,900",0,520109,"-14,198",-2.66%
2018-2019,Sussex,1800,Green Twp,"2,582,962","2,629,614","2,629,614","752,578",0,"576,240","403,787","424,190","50,903","421,916",2629614,"46,652",1.81%
2018-2019,Sussex,1930,Hamburg Boro,"1,596,789","1,638,145","1,561,588","750,879",0,0,"44,903","197,985","30,047","537,774",1561588,"-35,201",-2.20%
2018-2019,Sussex,1980,Hampton Twp,"1,253,400","1,281,175","1,210,255","655,394",0,0,"167,978","239,718","32,162","115,003",1210255,"-43,145",-3.44%
2018-2019,Sussex,2030,Hardyston Twp,"2,153,270","2,196,180","2,104,821",0,0,"108,472","452,207","461,016","61,773","1,021,353",2104821,"-48,449",-2.25%
2018-2019,Sussex,2165,High Point Regional,"6,281,451","6,500,411","6,137,422","4,284,622",0,"53,832","748,822","702,032","86,130","261,984",6137422,"-144,029",-2.29%
2018-2019,Sussex,2240,Hopatcong,"11,170,937","11,339,944","10,728,888","5,217,357",0,0,"668,951","1,307,036","232,284","3,303,260",10728888,"-442,049",-3.96%
2018-2019,Sussex,2465,Kittatinny Regional,"5,964,645","6,005,433","5,874,492","3,430,734",0,"301,208","630,048","691,576","86,912","734,014",5874492,"-90,153",-1.51%
2018-2019,Sussex,2490,Lafayette Twp,"841,528","841,528","834,527","47,971",0,"407,310","107,714","138,078","17,295","116,159",834527,"-7,001",-0.83%
2018-2019,Sussex,2615,Lenape Valley Regional,"4,832,461","4,930,905","4,930,905","3,561,234",0,"707,453","177,329","464,408","20,481",0,4930905,"98,444",2.04%
2018-2019,Sussex,3300,Montague Twp,"2,675,796","2,675,796","2,591,129","1,906,677",0,0,"326,614","257,132","100,706",0,2591129,"-84,667",-3.16%
2018-2019,Sussex,3590,Newton Town,"6,165,257","6,466,266","6,466,266","5,406,257",0,"12,276","229,942","596,193","221,598",0,6466266,"301,009",4.88%
2018-2019,Sussex,3840,Ogdensburg Boro,"2,259,602","2,259,602","2,214,278","1,369,767",0,"291,031","17,372","162,828","27,247","346,033",2214278,"-45,324",-2.01%
2018-2019,Sussex,4650,Sandyston-Walpack Twp,"573,099","592,415","560,946","465,729",0,0,"5,430","87,136","2,651",0,560946,"-12,153",-2.12%
2018-2019,Sussex,4960,Sparta Twp,"5,977,474","6,293,744","5,899,934","2,488,733",0,0,"1,128,376","2,030,137","252,688",0,5899934,"-77,540",-1.30%
2018-2019,Sussex,5030,Stanhope Boro,"1,485,876","1,513,032","1,464,184","1,167,221",0,0,"21,534","241,435","33,994",0,1464184,"-21,692",-1.46%
2018-2019,Sussex,5040,Stillwater Twp,"1,771,122","1,804,081","1,719,362","1,031,570",0,0,"151,123","211,181","33,792","291,696",1719362,"-51,760",-2.92%
2018-2019,Sussex,5100,Sussex-Wantage Regional,"7,680,377","7,795,168","7,484,016","5,670,481",0,"39,713","784,782","833,307","155,733",0,7484016,"-196,361",-2.56%
2018-2019,Sussex,5110,Sussex County Vocational,"4,197,167","4,261,877","4,197,167","2,460,033",0,0,0,"413,134","74,363","1,249,637",4197167,0,0.00%
2018-2019,Sussex,5360,Vernon Twp,"24,618,248","25,103,743","24,108,189","14,888,366",0,"158,550","2,202,151","2,545,581","341,922","3,971,619",24108189,"-510,059",-2.07%
2018-2019,Sussex,5435,Wallkill Valley Regional,"4,650,280","4,671,317","4,529,407","2,938,820",0,"4,252","508,608","525,097","67,325","485,305",4529407,"-120,873",-2.60%
2018-2019,Union,310,Berkeley Heights Twp,"1,296,302","1,473,639","1,563,766",0,0,0,"470,303","1,052,581","40,882",0,1563766,"267,464",20.63%
2018-2019,Union,850,Clark Twp,"1,146,528","1,288,480","1,288,480",0,0,0,"256,592","976,707","55,181",0,1288480,"141,952",12.38%
2018-2019,Union,980,Cranford Twp,"2,437,543","2,624,844","2,624,844","88,682",0,0,"354,868","2,088,464","92,830",0,2624844,"187,301",7.68%
2018-2019,Union,1320,Elizabeth City,"373,294,815","390,533,502","390,533,502","321,671,446","28,521,068",0,"5,189,194","22,973,894","12,177,900",0,390533502,"17,238,687",4.62%
2018-2019,Union,1710,Garwood Boro,"469,359","504,445","504,445","77,425",0,0,"88,326","323,421","11,310","3,963",504445,"35,086",7.48%
2018-2019,Union,2190,Hillside Twp,"22,000,944","23,100,991","23,100,991","19,723,724",0,0,"460,771","1,827,031","1,089,465",0,23100991,"1,100,047",5.00%
2018-2019,Union,2420,Kenilworth Boro,"4,674,995","4,988,007","6,373,846","2,455,648",0,"2,311,520","173,781","1,218,446","214,451",0,6373846,"1,698,851",36.34%
2018-2019,Union,2660,Linden City,"23,191,774","23,771,568","27,271,568","19,002,542",0,0,"1,068,441","5,173,982","2,026,603",0,27271568,"4,079,794",17.59%
2018-2019,Union,3470,Mountainside Boro,"569,584","613,011","763,171",0,0,0,"307,722","435,718","19,731",0,763171,"193,587",33.99%
2018-2019,Union,3560,New Providence Boro,"1,056,815","1,162,779","1,445,115",0,0,0,"250,347","1,007,827","186,941",0,1445115,"388,300",36.74%
2018-2019,Union,4160,Plainfield City,"126,468,339","132,241,297","132,241,297","105,624,369","11,009,173",0,"1,835,983","9,005,908","4,765,864",0,132241297,"5,772,958",4.57%
2018-2019,Union,4290,Rahway City,"21,397,420","22,467,291","22,467,291","18,255,061",0,0,"916,421","2,263,445","1,032,364",0,22467291,"1,069,871",5.00%
2018-2019,Union,4540,Roselle Boro,"24,336,033","25,552,835","25,552,835","22,294,833",0,0,"137,828","1,836,297","1,283,877",0,25552835,"1,216,802",5.00%
2018-2019,Union,4550,Roselle Park Boro,"10,963,398","11,511,568","11,511,568","9,619,107",0,0,"128,375","1,320,686","443,400",0,11511568,"548,170",5.00%
2018-2019,Union,4670,Scotch Plains-Fanwood Reg,"3,200,880","3,527,217","3,596,939",0,0,0,"792,773","2,705,322","98,844",0,3596939,"396,059",12.37%
2018-2019,Union,5000,Springfield Twp,"1,499,206","1,547,093","1,946,555",0,0,"480,777","408,453","845,708","211,617",0,1946555,"447,349",29.84%
2018-2019,Union,5090,Summit City,"1,815,901","2,008,784","2,315,064",0,0,0,"203,264","1,719,921","391,879",0,2315064,"499,163",27.49%
2018-2019,Union,5260,Union County Vocational,"6,404,315","6,724,531","9,453,475","7,586,304",0,0,0,"1,665,799","201,372",0,9453475,"3,049,160",47.61%
2018-2019,Union,5290,Union Twp,"31,286,255","32,684,260","32,684,260","25,765,094",0,0,"1,894,809","4,600,487","423,870",0,32684260,"1,398,005",4.47%
2018-2019,Union,5730,Westfield Town,"3,249,657","3,604,871","3,828,581",0,0,0,"575,681","2,815,067","437,833",0,3828581,"578,924",17.81%
2018-2019,Union,5810,Winfield Twp,"1,699,398","1,807,799","1,807,799","1,320,863",0,"225,728","60,297","163,663","37,248",0,1807799,"108,401",6.38%
2018-2019,Warren,30,Allamuchy Twp,"583,757","614,633","614,633",0,0,0,"277,862","299,321","37,450",0,614633,"30,876",5.29%
2018-2019,Warren,70,Alpha Boro,"1,911,978","1,959,778","1,959,778","1,676,814",0,0,"73,684","199,203","10,077",0,1959778,"47,800",2.50%
2018-2019,Warren,280,Belvidere Town,"2,838,387","2,918,370","2,918,370","2,549,473",0,0,"14,798","295,639","58,460",0,2918370,"79,983",2.82%
2018-2019,Warren,400,Blairstown Twp,"1,969,506","2,005,601","1,909,932","1,333,417",0,0,"83,167","351,956","52,071","89,321",1909932,"-59,574",-3.03%
2018-2019,Warren,1620,Franklin Twp,"750,331","772,999","724,652","557,245",0,0,"16,087","147,307","4,013",0,724652,"-25,679",-3.42%
2018-2019,Warren,1670,Frelinghuysen Twp,"605,993","626,742","585,122","274,195",0,0,"81,177","122,858","12,976","93,916",585122,"-20,871",-3.44%
2018-2019,Warren,1785,Great Meadows Regional,"5,885,705","5,995,971","5,688,726","4,672,930",0,0,"147,093","763,471","105,232",0,5688726,"-196,979",-3.35%
2018-2019,Warren,1840,Greenwich Twp,"6,029,016","6,029,016","5,945,768","4,770,510",0,"251,367","134,082","699,575","90,234",0,5945768,"-83,248",-1.38%
2018-2019,Warren,1870,Hackettstown,"5,423,776","5,711,847","6,426,737","4,674,021",0,"47,768","172,880","1,239,747","292,321",0,6426737,"1,002,961",18.49%
2018-2019,Warren,2040,Harmony Twp,"371,013","407,195","407,195",0,0,0,"146,873","228,888","31,434",0,407195,"36,182",9.75%
2018-2019,Warren,2250,Hope Twp,"972,061","989,430","937,619","684,121",0,0,"63,460","167,533","22,505",0,937619,"-34,442",-3.54%
2018-2019,Warren,2470,Knowlton Twp,"1,385,676","1,420,794","1,343,187","1,083,113",0,0,"90,234","145,196","24,644",0,1343187,"-42,489",-3.07%
2018-2019,Warren,2790,Lopatcong Twp,"3,605,625","3,646,410","3,646,410","2,624,662",0,"177,150","114,378","704,190","26,030",0,3646410,"40,785",1.13%
2018-2019,Warren,2970,Mansfield Twp,"3,621,285","3,734,541","3,734,541","2,979,731",0,0,"273,159","396,644","85,007",0,3734541,"113,256",3.13%
2018-2019,Warren,3675,North Warren Regional,"4,958,195","5,038,337","4,784,440","4,073,680",0,0,"24,106","607,635","79,019",0,4784440,"-173,755",-3.50%
2018-2019,Warren,3890,Oxford Twp,"2,636,734","2,720,596","2,720,596","2,098,956",0,"157,755","157,585","271,037","35,263",0,2720596,"83,862",3.18%
2018-2019,Warren,4100,Phillipsburg Town,"37,483,470","38,053,231","38,053,231","25,265,381",0,"8,446","611,311","1,395,514","995,480","9,777,099",38053231,"569,761",1.52%
2018-2019,Warren,4200,Pohatcong Twp,"1,784,292","1,814,646","1,814,646","1,426,667",0,0,"84,857","268,769","34,353",0,1814646,"30,354",1.70%
2018-2019,Warren,5460,Warren County Vocational,"3,166,477","3,307,006","3,307,006","2,793,754",0,0,"212,027","273,356","27,869",0,3307006,"140,529",4.44%
2018-2019,Warren,5465,Warren Hills Regional,"10,628,706","10,806,089","10,806,089","9,336,871",0,0,"380,381","1,041,953","46,884",0,10806089,"177,383",1.67%
2018-2019,Warren,5480,Washington Boro,"2,845,285","2,916,417","2,916,417","2,497,251",0,0,"27,569","295,505","96,092",0,2916417,"71,132",2.50%
2018-2019,Warren,5530,Washington Twp,"2,585,480","2,622,788","2,517,485","1,702,476",0,0,"258,367","351,820","49,011","155,811",2517485,"-67,995",-2.63%
2018-2019,Warren,5780,White Twp,"1,713,147","1,756,162","1,654,954","581,054",0,0,"249,609","335,067","49,562","439,662",1654954,"-58,193",-3.40%
